N,BLOCKED,BLOCKED & PACKING,BLOCKED & PACKING & AVX (CCR),BLOCKED & PACKING & AVX (RRC to RRR packing),BLOCKED & PACKING & AVX (RRC with reduction),BLOCKED & PACKING & AVX (RRC with reduction) & OMP,GPU,GPU+Copies1,2.86e-06s,4.05e-06s,0.00e+00s,9.54e-07s,9.54e-07s,9.75e-03s,6.19e-03s,1.32e-02s
2,1.19e-06s,6.91e-06s,9.54e-07s,9.54e-07s,9.54e-07s,3.78e-03s,1.15e-03s,5.75e-03s
4,1.19e-06s,4.05e-06s,1.19e-06s,1.19e-06s,9.54e-07s,1.20e-04s,1.23e-03s,4.35e-03s
8,1.19e-06s,5.01e-06s,9.54e-07s,2.15e-06s,1.91e-06s,1.27e-04s,1.23e-03s,4.72e-03s
16,5.96e-06s,9.06e-06s,3.10e-06s,2.86e-06s,1.91e-06s,3.70e-05s,1.41e-03s,4.87e-03s
32,4.51e-05s,4.41e-05s,6.91e-06s,1.29e-05s,7.15e-06s,4.40e-04s,2.97e-03s,8.01e-03s
64,4.07e-04s,3.29e-04s,5.01e-05s,5.20e-05s,4.51e-05s,2.05e-03s,2.12e-03s,6.02e-03s
128,3.45e-03s,2.30e-03s,3.12e-04s,3.29e-04s,3.53e-04s,1.83e-03s,2.26e-03s,6.61e-03s
256,5.16e-02s,1.84e-02s,1.44e-03s,1.90e-03s,1.13e-03s,5.32e-03s,3.14e-03s,6.78e-03s
512,1.25e-01s,8.30e-02s,1.09e-02s,1.29e-02s,9.15e-03s,4.84e-03s,1.59e-02s,2.11e-02s
1024,9.61e-01s,6.40e-01s,9.35e-02s,1.29e-01s,7.45e-02s,1.91e-02s,1.18e-01s,1.28e-01s
2048,7.49e+00s,5.11e+00s,6.95e-01s,1.11e+00s,5.76e-01s,1.35e-01s,3.71e-01s,4.22e-01s
4096,6.07e+01s,4.10e+01s,5.69e+00s,1.59e+01s,4.56e+00s,1.22e+00s,1.38e+00s,1.49e+00s
